0x7A69 Dark:					4/10: bland, rustic
1989:									1/10: pink everything
256 greyvim: 					5/10: fine color, needs contrast
256 jungle: 					4/10: poor color, rustic
256 noir: 						5/10: grey on black
3d glasses: 					5/10: plain seafoam
Atelier cavedark: 		5/10: muted blue-purple
Atelier dunedark: 		7/10: strong color, good contrast
Atelier estuarydark:	5/10: muted swamp, rustic
Atelier forestdark: 	6/10: very strong contrast
Atelier heathdark: 		5/10: muted strong contrast
Atelier plateudark: 	5/10: muted fine contrast
Atelier savannadark:	4/10: muted desert
Atelier seasidedark:	7/10: strong color, proper contrast and shading
Atelier sulphurpool:	4/10: muted rustic, but decent contrast
Benokai:							7/10: good contrast, ok colors
black:								5/10: plain seafoam
blacksea:							4/10: absurd contrast
blue2									4/10: plain 
c64:									2/10: powershell blue everything 
candypaper:						1/10: swamp moss, no contrast
chasing logic:				8/10: great contrast, ok colors
chocolateliquor:			6/10: darker accented plain
chocolatepapaya:			6/10: darker accented plain
codefactoryv3:				3/10: muted plain grey
dark:									x/10: fails airline
dark2:								x/10: fails airline
darkdefault:					x/10: fails airline
devc++: 							2/10: rustic dark
dev delight: 					x/10: fails airline
dim:									2/10: grey plain, airline incompat
dim2:									2/10: grey plain, airline incompat
dimblue:							2/10: grey plain, airline incompat
dim***
light***
monokai:							7/10: good contrast, ok color, boxed text
mountaindew:					3/10: plain, didnt load?
oceanicnext:					9/10: nice constrast, nice color
papayawhip:						0/10: unusable
papercolor:						6/10: fine contrast, weird color
perfectdark:					4/10: plain on grey
red:									4/10: plain, not red
revolution:						3/10: muted rustic, good contrast
serialexperiments:		8/10: nice contrast, weird color
slate:								x/10: fails airline
slatedark:						4/10: ok contrast, poor color, rustic
spink:								2/10: nothing on grey
sweetcandy:						6/10: excess contrast
tomorrownightblue:		7/10: good color, good contrast, blue theme 
tomorrownightbright:	6/10: ok color, ok contrast, muted
tomorrownighteighties:5/10: muted, ok color
tomorrownight:				4/10: very muted
tomorrow:							1/10: light theme
vivid:								2/10: strong contrast, breaks airline
